Temperature - (Celsius), Year, Statistics, Country, ISO3
28.9, 2001, Feb Average, Ghana, GHA
30.1, 2001, Mar Average, Ghana, GHA
29.3, 2001, Apr Average, Ghana, GHA
28.7, 2001, May Average, Ghana, GHA
26.8, 2001, Jun Average, Ghana, GHA
25.9, 2001, Jul Average, Ghana, GHA
25.4, 2001, Aug Average, Ghana, GHA
25.9, 2001, Sep Average, Ghana, GHA
27.4, 2001, Oct Average, Ghana, GHA
28.0, 2001, Nov Average, Ghana, GHA
27.6, 2001, Dec Average, Ghana, GHA
27.1, 2002, Jan Average, Ghana, GHA
28.9, 2002, Feb Average, Ghana, GHA
30.4, 2002, Mar Average, Ghana, GHA
29.5, 2002, Apr Average, Ghana, GHA
29.0, 2002, May Average, Ghana, GHA
27.3, 2002, Jun Average, Ghana, GHA
26.5, 2002, Jul Average, Ghana, GHA
25.8, 2002, Aug Average, Ghana, GHA
26.2, 2002, Sep Average, Ghana, GHA
26.8, 2002, Oct Average, Ghana, GHA
27.7, 2002, Nov Average, Ghana, GHA
27.0, 2002, Dec Average, Ghana, GHA
27.7, 2003, Jan Average, Ghana, GHA
30.2, 2003, Feb Average, Ghana, GHA
30.2, 2003, Mar Average, Ghana, GHA
29.2, 2003, Apr Average, Ghana, GHA
28.9, 2003, May Average, Ghana, GHA
26.6, 2003, Jun Average, Ghana, GHA
25.9, 2003, Jul Average, Ghana, GHA
25.8, 2003, Aug Average, Ghana, GHA
26.1, 2003, Sep Average, Ghana, GHA
27.7, 2003, Oct Average, Ghana, GHA
27.8, 2003, Nov Average, Ghana, GHA
26.8, 2003, Dec Average, Ghana, GHA
27.5, 2004, Jan Average, Ghana, GHA
29.4, 2004, Feb Average, Ghana, GHA
29.9, 2004, Mar Average, Ghana, GHA
29.2, 2004, Apr Average, Ghana, GHA
28.0, 2004, May Average, Ghana, GHA
26.6, 2004, Jun Average, Ghana, GHA
25.8, 2004, Jul Average, Ghana, GHA
25.7, 2004, Aug Average, Ghana, GHA
26.4, 2004, Sep Average, Ghana, GHA
27.3, 2004, Oct Average, Ghana, GHA
27.9, 2004, Nov Average, Ghana, GHA
27.8, 2004, Dec Average, Ghana, GHA
26.9, 2005, Jan Average, Ghana, GHA
30.7, 2005, Feb Average, Ghana, GHA
30.6, 2005, Mar Average, Ghana, GHA
30.0, 2005, Apr Average, Ghana, GHA
28.5, 2005, May Average, Ghana, GHA
26.9, 2005, Jun Average, Ghana, GHA
26.0, 2005, Jul Average, Ghana, GHA
25.6, 2005, Aug Average, Ghana, GHA
