Rainfall - (MM), Year, Statistics, Country, ISO3
10.8, 2001, Feb Average, Ghana, GHA
47.0, 2001, Mar Average, Ghana, GHA
143.8, 2001, Apr Average, Ghana, GHA
149.7, 2001, May Average, Ghana, GHA
167.9, 2001, Jun Average, Ghana, GHA
115.1, 2001, Jul Average, Ghana, GHA
133.4, 2001, Aug Average, Ghana, GHA
175.5, 2001, Sep Average, Ghana, GHA
76.6, 2001, Oct Average, Ghana, GHA
31.9, 2001, Nov Average, Ghana, GHA
13.1, 2001, Dec Average, Ghana, GHA
5.5, 2002, Jan Average, Ghana, GHA
14.2, 2002, Feb Average, Ghana, GHA
64.9, 2002, Mar Average, Ghana, GHA
133.5, 2002, Apr Average, Ghana, GHA
138.5, 2002, May Average, Ghana, GHA
185.8, 2002, Jun Average, Ghana, GHA
189.3, 2002, Jul Average, Ghana, GHA
137.6, 2002, Aug Average, Ghana, GHA
115.2, 2002, Sep Average, Ghana, GHA
158.9, 2002, Oct Average, Ghana, GHA
28.2, 2002, Nov Average, Ghana, GHA
3.0, 2002, Dec Average, Ghana, GHA
13.9, 2003, Jan Average, Ghana, GHA
31.1, 2003, Feb Average, Ghana, GHA
61.0, 2003, Mar Average, Ghana, GHA
133.6, 2003, Apr Average, Ghana, GHA
146.7, 2003, May Average, Ghana, GHA
199.3, 2003, Jun Average, Ghana, GHA
114.8, 2003, Jul Average, Ghana, GHA
142.5, 2003, Aug Average, Ghana, GHA
170.4, 2003, Sep Average, Ghana, GHA
153.0, 2003, Oct Average, Ghana, GHA
57.3, 2003, Nov Average, Ghana, GHA
11.5, 2003, Dec Average, Ghana, GHA
23.4, 2004, Jan Average, Ghana, GHA
28.3, 2004, Feb Average, Ghana, GHA
50.9, 2004, Mar Average, Ghana, GHA
103.8, 2004, Apr Average, Ghana, GHA
123.8, 2004, May Average, Ghana, GHA
108.9, 2004, Jun Average, Ghana, GHA
162.3, 2004, Jul Average, Ghana, GHA
136.5, 2004, Aug Average, Ghana, GHA
196.4, 2004, Sep Average, Ghana, GHA
141.9, 2004, Oct Average, Ghana, GHA
43.3, 2004, Nov Average, Ghana, GHA
11.5, 2004, Dec Average, Ghana, GHA
3.9, 2005, Jan Average, Ghana, GHA
28.9, 2005, Feb Average, Ghana, GHA
90.2, 2005, Mar Average, Ghana, GHA
96.6, 2005, Apr Average, Ghana, GHA
165.0, 2005, May Average, Ghana, GHA
144.0, 2005, Jun Average, Ghana, GHA
138.7, 2005, Jul Average, Ghana, GHA
92.2, 2005, Aug Average, Ghana, GHA
153.7, 2005, Sep Average, Ghana, GHA
144.7, 2005, Oct Average, Ghana, GHA
39.4, 2005, Nov Average, Ghana, GHA
14.7, 2005, Dec Average, Ghana, GHA
5.1, 2006, Jan Average, Ghana, GHA
26.9, 2006, Feb Average, Ghana, GHA
61.2, 2006, Mar Average, Ghana, GHA
71.2, 2006, Apr Average, Ghana, GHA
187.8, 2006, May Average, Ghana, GHA
147.7, 2006, Jun Average, Ghana, GHA
117.8, 2006, Jul Average, Ghana, GHA
108.7, 2006, Aug Average, Ghana, GHA
193.7, 2006, Sep Average, Ghana, GHA
168.2, 2006, Oct Average, Ghana, GHA
25.4, 2006, Nov Average, Ghana, GHA
11.1, 2006, Dec Average, Ghana, GHA
0.2, 2007, Jan Average, Ghana, GHA
20.9, 2007, Feb Average, Ghana, GHA
51.7, 2007, Mar Average, Ghana, GHA
160.6, 2007, Apr Average, Ghana, GHA
133.6, 2007, May Average, Ghana, GHA
141.2, 2007, Jun Average, Ghana, GHA
175.6, 2007, Jul Average, Ghana, GHA
189.3, 2007, Aug Average, Ghana, GHA
204.8, 2007, Sep Average, Ghana, GHA
137.7, 2007, Oct Average, Ghana, GHA
49.6, 2007, Nov Average, Ghana, GHA
13.1, 2007, Dec Average, Ghana, GHA
5.9, 2008, Jan Average, Ghana, GHA
23.7, 2008, Feb Average, Ghana, GHA
80.4, 2008, Mar Average, Ghana, GHA
110.1, 2008, Apr Average, Ghana, GHA
159.9, 2008, May Average, Ghana, GHA
191.3, 2008, Jun Average, Ghana, GHA
195.4, 2008, Jul Average, Ghana, GHA
197.9, 2008, Aug Average, Ghana, GHA
164.2, 2008, Sep Average, Ghana, GHA
119.4, 2008, Oct Average, Ghana, GHA
47.5, 2008, Nov Average, Ghana, GHA
24.7, 2008, Dec Average, Ghana, GHA
3.3, 2009, Jan Average, Ghana, GHA
31.5, 2009, Feb Average, Ghana, GHA
74.2, 2009, Mar Average, Ghana, GHA
121.1, 2009, Apr Average, Ghana, GHA
136.5, 2009, May Average, Ghana, GHA
200.8, 2009, Jun Average, Ghana, GHA
205.5, 2009, Jul Average, Ghana, GHA
144.3, 2009, Aug Average, Ghana, GHA
137.3, 2009, Sep Average, Ghana, GHA
117.8, 2009, Oct Average, Ghana, GHA
26.3, 2009, Nov Average, Ghana, GHA
18.1, 2009, Dec Average, Ghana, GHA
10.1, 2010, Jan Average, Ghana, GHA
37.7, 2010, Feb Average, Ghana, GHA
43.4, 2010, Mar Average, Ghana, GHA
105.6, 2010, Apr Average, Ghana, GHA
113.7, 2010, May Average, Ghana, GHA
178.8, 2010, Jun Average, Ghana, GHA
133.7, 2010, Jul Average, Ghana, GHA
175.7, 2010, Aug Average, Ghana, GHA
231.8, 2010, Sep Average, Ghana, GHA
186.2, 2010, Oct Average, Ghana, GHA
54.0, 2010, Nov Average, Ghana, GHA
16.8, 2010, Dec Average, Ghana, GHA
7.8, 2011, Jan Average, Ghana, GHA
39.4, 2011, Feb Average, Ghana, GHA
58.8, 2011, Mar Average, Ghana, GHA
84.3, 2011, Apr Average, Ghana, GHA
119.6, 2011, May Average, Ghana, GHA
172.4, 2011, Jun Average, Ghana, GHA
185.8, 2011, Jul Average, Ghana, GHA
124.5, 2011, Aug Average, Ghana, GHA
169.5, 2011, Sep Average, Ghana, GHA
177.0, 2011, Oct Average, Ghana, GHA
17.8, 2011, Nov Average, Ghana, GHA
4.0, 2011, Dec Average, Ghana, GHA
14.1, 2012, Jan Average, Ghana, GHA
42.3, 2012, Feb Average, Ghana, GHA
28.4, 2012, Mar Average, Ghana, GHA
115.9, 2012, Apr Average, Ghana, GHA
157.5, 2012, May Average, Ghana, GHA
176.3, 2012, Jun Average, Ghana, GHA
147.8, 2012, Jul Average, Ghana, GHA
135.0, 2012, Aug Average, Ghana, GHA
172.2, 2012, Sep Average, Ghana, GHA
116.7, 2012, Oct Average, Ghana, GHA
51.1, 2012, Nov Average, Ghana, GHA
51.5, 2012, Dec Average, Ghana, GHA
8.7, 2013, Jan Average, Ghana, GHA
