Simulation Iteration Time Var1 Var2
1.00000 701.000 0.913463 532.000 166.000
2.00000 701.000 0.937420 548.000 166.000
1.00000 711.000 0.920759 540.000 166.000
2.00000 711.000 0.947814 550.000 169.000
1.00000 721.000 0.933409 546.000 168.000
2.00000 721.000 0.962899 560.000 169.000
1.00000 731.000 0.942009 552.000 170.000
2.00000 731.000 0.972716 564.000 172.000
1.00000 741.000 0.949391 554.000 173.000
2.00000 741.000 0.984708 570.000 173.000
1.00000 751.000 0.960514 562.000 174.000
2.00000 751.000 0.994316 574.000 176.000
1.00000 761.000 0.967902 568.000 175.000
2.00000 761.000 1.00146 579.000 176.000
1.00000 771.000 0.972770 570.000 178.000
2.00000 771.000 1.00811 581.000 179.000
1.00000 781.000 0.979927 576.000 180.000
2.00000 781.000 1.01419 585.000 180.000
1.00000 791.000 0.993238 584.000 181.000
2.00000 791.000 1.02436 591.000 182.000
1.00000 794.000 1.00068 587.000 181.000
2.00000 794.000 1.02579 594.000 182.000
1.00000 795.000 1.00151 588.000 181.000
2.00000 795.000 1.02693 595.000 182.000
