"t","E","L","P","A"
0,10,1,1,1
0.3,11,1,1,1
0.6,11,4,1,1
0.9,11,3,1,1
1.2,13,3,2,1
1.5,15,3,2,1
1.8,17,4,1,2
2.1,23,4,1,2
2.4,17,4,1,2
2.7,18,7,1,2
3,22,7,2,2
3.3,28,7,2,2
3.6,30,6,1,2
3.9,29,8,1,2
4.2,31,7,2,2
4.5,31,8,3,2
4.8,29,12,2,2
5.1,27,15,2,2
5.4,30,14,3,2
5.7,31,13,3,2
6,35,17,2,2
6.3,30,28,2,2
6.6,28,25,3,2
6.9,36,22,4,2
7.2,36,20,5,1
7.2,36,20,5,1
