Simulation Iteration Time Var1 Var2
1.00000 0.00000 0.00000 1.00000e+09 1000.00
2.00000 0.00000 0.00000 1.00000e+09 1000.00
3.00000 0.00000 0.00000 1.00000e+09 1000.00
4.00000 0.00000 0.00000 1.00000e+09 1000.00
5.00000 0.00000 0.00000 1.00000e+09 1000.00
6.00000 0.00000 0.00000 1.00000e+09 1000.00
7.00000 0.00000 0.00000 1.00000e+09 1000.00
8.00000 0.00000 0.00000 1.00000e+09 1000.00
9.00000 0.00000 0.00000 1.00000e+09 1000.00
10.0000 0.00000 0.00000 1.00000e+09 1000.00
1.00000 1.00000 6.04853e-06 1.00000e+09 1000.00
2.00000 1.00000 9.71334e-07 1.00000e+09 1000.00
3.00000 1.00000 2.62216e-06 1.00000e+09 1000.00
4.00000 1.00000 4.40806e-06 1.00000e+09 1000.00
5.00000 1.00000 2.30903e-06 1.00000e+09 1000.00
6.00000 1.00000 1.52311e-06 1.00000e+09 1000.00
7.00000 1.00000 3.97781e-06 1.00000e+09 1000.00
8.00000 1.00000 7.26720e-06 1.00000e+09 1000.00
9.00000 1.00000 2.02934e-06 1.00000e+09 1000.00
10.0000 1.00000 1.42967e-06 1.00000e+09 1000.00
1.00000 11.0000 1.66825e-05 1.00000e+09 1000.00
2.00000 11.0000 2.74327e-05 1.00000e+09 1000.00
3.00000 11.0000 2.70992e-05 1.00000e+09 1000.00
4.00000 11.0000 1.95899e-05 1.00000e+09 1001.00
5.00000 11.0000 1.40861e-05 1.00000e+09 1001.00
6.00000 11.0000 1.98600e-05 1.00000e+09 1000.00
7.00000 11.0000 3.20496e-05 1.00000e+09 1000.00
8.00000 11.0000 2.87966e-05 1.00000e+09 1000.00
9.00000 11.0000 1.80328e-05 1.00000e+09 1000.00
10.0000 11.0000 2.49641e-05 1.00000e+09 1000.00
1.00000 21.0000 2.90841e-05 1.00000e+09 1000.00
2.00000 21.0000 3.54251e-05 1.00000e+09 1000.00
3.00000 21.0000 4.26955e-05 1.00000e+09 1001.00
4.00000 21.0000 3.20288e-05 1.00000e+09 1001.00
5.00000 21.0000 4.05633e-05 1.00000e+09 1001.00
6.00000 21.0000 3.44421e-05 1.00000e+09 1000.00
7.00000 21.0000 4.45986e-05 1.00000e+09 1000.00
